Facility name,State of operation,Responsible emitter,Responsible emitter ABN/ACN, Baseline number ,Type of baseline,Reported covered Emissions,ACCUs issued,ACCUs deemed surrender,ACCUs surrendered, Net emissions number ,MYMP net emissions number,MYMP baseline number,Excess emissions situation start date (if applicable),Excess emissions situation end date (if applicable),Notes
Norske Skog Boyer Mill,TAS,NORSKE SKOG PAPER MILLS (AUSTRALIA) LIMITED,84 009 477 132," 183,056 ",Calculated baseline," 172,392 ","15,938",0,"5,274"," 183,056 ",n/a,n/a,-,-,-
North Goonyella Coal Mine,QLD,PEABODY (BOWEN) PTY LTD,50 010 879 526," 225,651 ",Calculated baseline," 224,735 ",0,0,0," 224,735 ",n/a,n/a,-,-,-
North West Shelf Project,WA,WOODSIDE ENERGY LTD.,63 005 482 986, n/a ,Multi-year monitoring period," 6,935,647 ",0,0,"6,254",n/a," 20,131,651 "," 20,131,651 ",-,-,-
Nowra Plant,NSW,SHOALHAVEN STARCHES PTY LTD,94 000 045 045," 461,274 ",Production-adjusted baseline," 363,674 ",0,0,0," 363,674 ",n/a,n/a,-,-,-
Nyrstar Port Pirie Facility,SA,NYRSTAR PORT PIRIE PTY LTD,31 008 046 428," 547,081 ",Calculated baseline," 359,490 ",0,0,0," 359,490 ",n/a,n/a,-,-,-
Oaky Creek Coal Complex,QLD,OAKY CREEK HOLDINGS PTY LIMITED,31 128 109 062," 988,314 ",Production-adjusted baseline," 756,649 ",0,0,0," 756,649 ",n/a,n/a,-,-,-
ODS01 Olympic Dam – UOD Facility,SA,BHP OLYMPIC DAM CORPORATION PTY LTD,99 007 835 761," 241,243 ",Production-adjusted baseline," 218,485 ",0,0,0," 218,485 ",n/a,n/a,-,-,-
Opal Australian Paper Maryvale Mill,VIC,PAPER AUSTRALIA PTY LTD,63 061 583 533," 350,280 ",Production-adjusted baseline," 297,647 ",0,0,0," 297,647 ",n/a,n/a,-,-,-
Orora Glass Plant Gawler,SA,ORORA LIMITED,55 004 275 165," 226,181 ",Production-adjusted baseline," 211,671 ",0,0,0," 211,671 ",n/a,n/a,-,-,-
Otway,VIC,BEACH ENERGY (OPERATIONS) LIMITED,66 007 845 338," 200,355 ",Calculated baseline," 134,089 ",0,0,0," 134,089 ",n/a,n/a,-,-,-
Pacific National National Transport Facility,National,PACIFIC NATIONAL PTY LTD,39 098 060 550, n/a ,Multi-year monitoring period," 810,695 ","10,514","10,514",0,n/a,n/a,n/a,-,-,-
Paraburdoo Mine,WA,HAMERSLEY IRON PTY. LIMITED,49 004 558 276," 100,000 ",Production-adjusted baseline," 129,483 ",0,0,"29,483"," 100,000 ",n/a,n/a,-,-,-
Parkhurst Magnesia Manufacturing Plant,QLD,QMAG PTY LIMITED,68 111 279 906," 256,419 ",Production-adjusted baseline," 252,207 ",0,0,0," 252,207 ",n/a,n/a,-,-,-
Peak Downs Mine,QLD,BM ALLIANCE COAL OPERATIONS PTY LIMITED,67 096 412 752," 473,498 ",Production-adjusted baseline," 477,021 ",0,0,"3,523"," 473,498 ",n/a,n/a,-,-,-
Phosphate Hill,QLD,INCITEC PIVOT LIMITED,42 004 080 264," 512,235 ",Production-adjusted baseline," 509,491 ",0,0,0," 509,491 ",n/a,n/a,-,-,-
Pilbara Rail Operations,WA,PILBARA IRON PTY LTD,75 107 216 535," 681,246 ",Production-adjusted baseline," 662,419 ",0,0,0," 662,419 ",n/a,n/a,-,-,-
Pilgangoora Operations,WA,PILBARA MINERALS LIMITED,95 112 425 788," 100,000 ",Default," 101,560 ",0,0,"1,560"," 100,000 ",n/a,n/a,-,-,-
Pinjarra Alumina Refinery,WA,ALCOA OF AUSTRALIA LIMITED,93 004 879 298," 2,798,215 ",Production-adjusted baseline," 1,437,765 ",0,0,0," 1,437,765 ",n/a,n/a,-,-,-
Pluto LNG,WA,WOODSIDE BURRUP PTY. LTD.,20 120 237 416, n/a ,Multi-year monitoring period," 1,839,910 ",0,0,0,n/a," 5,731,271 "," 6,188,809 ",-,-,-
Poitrel Mine,QLD,STANMORE RESOURCES LIMITED,27 131 920 968," 216,365 ",Production-adjusted baseline," 283,973 ",0,0,"67,608"," 216,365 ",n/a,n/a,-,-,-
Port Kembla Steelworks,NSW,BLUESCOPE STEEL (AIS) PTY. LTD.,19 000 019 625," 6,875,761 ",Production-adjusted baseline," 6,138,128 ",0,0,0," 6,138,128 ",n/a,n/a,-,-,-
Port Latta Pelletising Plant,TAS,GRANGE RESOURCES (TASMANIA) PTY LTD,30 073 634 581," 125,949 ",Production-adjusted baseline," 123,076 ",0,0,0," 123,076 ",n/a,n/a,-,-,-
Portland Aluminium Smelter,VIC,ALCOA PORTLAND ALUMINIUM PROPRIETARY LIMITED,80 006 306 752," 575,641 ",Production-adjusted baseline," 636,453 ",0,0,"60,812"," 575,641 ",n/a,n/a,-,-,-
Premier Coal Mine (Open Cut),WA,PREMIER COAL LTD,21 008 672 599," 100,000 ",Default," 108,551 ",0,0,"8,551"," 100,000 ",n/a,n/a,-,-,-
PRL03 Rail - IOR Facility,WA,BHP IRON ORE PTY LTD,46 008 700 981," 589,216 ",Production-adjusted baseline," 566,312 ",0,0,0," 566,312 ",n/a,n/a,-,-,-
Qantas Airways Limited National Transport Facility,National,QANTAS AIRWAYS LIMITED,16 009 661 901," 5,285,611 ",Calculated baseline," 4,385,686 ",0,0,0," 4,385,686 ",n/a,n/a,-,-,-
Qenos Altona Manufacturing,VIC,QENOS PTY LTD,62 054 196 771," 218,590 ",Production-adjusted baseline," 212,923 ",0,0,0," 212,923 ",n/a,n/a,-,-,-
Qenos Botany Manufacturing,NSW,QENOS PTY LTD,62 054 196 771," 551,253 ",Calculated baseline," 348,554 ",0,0,0," 348,554 ",n/a,n/a,-,-,-
QGC Upstream,QLD,QGC PTY LIMITED,11 089 642 553," 1,186,518 ",Production-adjusted baseline," 863,094 ",0,0,0," 863,094 ",n/a,n/a,-,-,-
Queensland,QLD,ALLIANCE AVIATION SERVICES LIMITED,96 153 361 525, n/a ,Multi-year monitoring period," 77,879 ",0,0,0,n/a," 260,461 "," 300,000 ",-,-,-
Queensland Alumina Limited Refinery,QLD,QUEENSLAND ALUMINA LIMITED,98 009 725 044," 2,915,797 ",Production-adjusted baseline," 3,059,545 ",0,0,"143,748"," 2,915,797 ",n/a,n/a,-,-,-
Queensland Curtis LNG Plant,QLD,QCLNG OPERATING COMPANY PTY LTD,19 138 872 385," 1,699,600 ",Production-adjusted baseline," 1,673,378 ",0,0,0," 1,673,378 ",n/a,n/a,-,-,-
Queensland Nitrates Ammonium Nitrate Plant,QLD,QUEENSLAND NITRATES PTY LTD,63 079 889 268," 271,190 ",Calculated baseline," 150,701 ",0,0,0," 150,701 ",n/a,n/a,-,-,-
Rail,WA,THE PILBARA INFRASTRUCTURE PTY LTD,52 103 096 340," 312,095 ",Production-adjusted baseline," 259,172 ",0,0,0," 259,172 ",n/a,n/a,-,-,-
Railton,TAS,CEMENT AUSTRALIA (GOLIATH) PTY LIMITED,33 009 476 546," 1,118,359 ",Calculated baseline," 1,056,965 ",0,0,0," 1,056,965 ",n/a,n/a,-,-,-
Ravensthorpe Nickel Operation,WA,FQM AUSTRALIA NICKEL PTY LTD,92 135 761 465," 324,093 ",Calculated baseline," 232,848 ",0,0,0," 232,848 ",n/a,n/a,-,-,-
Ravenswood Mine,QLD,RAVENSWOOD GOLD PTY LTD,88 637 527 309," 136,931 ",Production-adjusted baseline," 117,387 ",0,0,0," 117,387 ",n/a,n/a,-,-,-
Ravensworth Operations,NSW,RAVENSWORTH OPERATIONS PTY LIMITED,12 098 937 761," 345,281 ",Calculated baseline," 327,434 ",0,0,0," 327,434 ",n/a,n/a,-,-,-
Refinery Qld Lytton,QLD,AMPOL LIMITED,40 004 201 307," 856,595 ",Production-adjusted baseline," 673,186 ",0,0,0," 673,186 ",n/a,n/a,-,-,-
Rio Tinto Marine - Qld,QLD,RIO TINTO SHIPPING (ASIA) PTE LIMITED,71 242 047 864," 144,297 ",Calculated baseline," 111,314 ",0,0,0," 111,314 ",n/a,n/a,-,-,-
Rio Tinto Weipa,QLD,RTA WEIPA PTY LTD,54 137 266 285," 263,451 ",Production-adjusted baseline," 257,444 ",0,0,0," 257,444 ",n/a,n/a,-,-,-
Rio Tinto Yarwun,QLD,RTA YARWUN PTY LTD,73 137 266 301," 2,201,946 ",Production-adjusted baseline," 2,200,584 ",0,0,0," 2,200,584 ",n/a,n/a,-,-,-
Rolleston Coal Mine,QLD,ROLLESTON COAL HOLDINGS PTY LIMITED,69 098 156 702," 163,725 ",Calculated baseline," 178,578 ",0,0,"14,853"," 163,725 ",n/a,n/a,-,-,-
Roma Hub,QLD,SANTOS LIMITED,80 007 550 923," 247,785 ",Production-adjusted baseline," 166,879 ",0,0,0," 166,879 ",n/a,n/a,-,-,-
Roy Hill Mine,WA,ROY HILL HOLDINGS PTY LTD,71 123 721 077," 535,965 ",Calculated baseline," 562,306 ",0,0,"26,342"," 535,964 ",n/a,n/a,-,-,-
Russell Vale Colliery,NSW,WOLLONGONG RESOURCES PTY. LTD.,28 111 244 896," 1,115,025 ",Calculated baseline," 272,086 ",0,0,0," 272,086 ",n/a,n/a,-,-,-
Saraji Mine,QLD,BM ALLIANCE COAL OPERATIONS PTY LIMITED,67 096 412 752, n/a ,Multi-year monitoring period," 357,472 ",0,0,"12,803",n/a," 1,138,944 "," 1,138,944 ",-,-,-
Savage River Mine,TAS,GRANGE RESOURCES (TASMANIA) PTY LTD,30 073 634 581," 124,395 ",Calculated baseline," 110,660 ",0,0,0," 110,660 ",n/a,n/a,-,-,-
Sewerage West,VIC,MELBOURNE WATER CORPORATION,81 945 386 953," 168,625 ",Calculated baseline," 164,045 ",0,0,0," 164,045 ",n/a,n/a,-,-,-
SIMEC Mining - Middleback Range Iron Ore Mine (Whyalla),SA,ONESTEEL MANUFACTURING PTY LIMITED,42 004 651 325," 100,000 ",Default," 117,919 ",0,0,"17,919"," 100,000 ",n/a,n/a,-,-,-
Sino Iron Project – Cape Preston,WA,CITIC PACIFIC MINING MANAGEMENT PTY LTD,64 119 578 371," 1,572,924 ",Production-adjusted baseline," 1,229,931 ",0,0,0," 1,229,931 ",n/a,n/a,-,-,-
Sojitz Gregory Crinum Mine,QLD,SOJITZ DEVELOPMENT PTY LTD,34 063 050 680, n/a ,Multi-year monitoring period," 109,652 ",0,0,0,n/a,n/a,n/a,-,-,-
Solomon Mine,WA,FMG SOLOMON PTY LTD,95 128 959 179," 462,288 ",Production-adjusted baseline," 448,524 ",0,0,"8,411"," 440,113 ",n/a,n/a,-,-,-
Solomon Power Station,WA,FMG SOLOMON PTY LTD,95 128 959 179," 206,495 ",Production-adjusted baseline," 206,715 ",0,0,220," 206,495 ",n/a,n/a,-,-,-
South Walker Creek,QLD,STANMORE RESOURCES LIMITED,27 131 920 968, n/a ,Multi-year monitoring period," 363,688 ",0,0,0,n/a,n/a,n/a,-,-,-
South West Queensland Pipeline,QLD; SA,APA (SWQP) PTY LIMITED,67 066 656 219," 176,381 ",Calculated baseline," 126,026 ",0,0,0," 126,026 ",n/a,n/a,-,-,-
South West Synthetic Rutile Operations,WA,ILUKA RESOURCES LIMITED,34 008 675 018," 346,104 ",Production-adjusted baseline," 357,996 ",0,0,"11,892"," 346,104 ",n/a,n/a,-,-,-
Spring Gully Reedy Creek Combabula,QLD,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,67 105 423 532," 988,214 ",Production-adjusted baseline," 304,522 ",0,0,0," 304,522 ",n/a,n/a,-,-,-
Start up and Operations of the Ichthys LNG Project,NT,INPEX OPERATIONS AUSTRALIA PTY LTD,48 150 217 262," 7,067,789 ",Calculated baseline," 5,840,868 ",0,0,0," 5,840,868 ",n/a,n/a,-,-,-
Sunrise Dam,WA,ANGLOGOLD ASHANTI AUSTRALIA LIMITED,42 008 737 424," 161,730 ",Production-adjusted baseline," 169,125 ",0,0,"7,395"," 161,730 ",n/a,n/a,-,-,-
TAHMOOR COAL MINE,NSW,TAHMOOR COAL PTY LTD,97 076 663 968," 2,008,287 ",Calculated baseline," 992,938 ",0,0,0," 992,938 ",n/a,n/a,-,-,-
Telfer Gold Mine,WA,NEWCREST MINING LIMITED,20 005 683 625," 626,808 ",Calculated baseline," 448,761 ",0,0,0," 448,761 ",n/a,n/a,-,-,-
Thunderbox Operations,WA,NORTHERN STAR (THUNDERBOX) PTY LTD,15 107 154 727," 213,075 ",Calculated baseline," 160,145 ",0,0,0," 160,145 ",n/a,n/a,-,-,-
Tom Price Mine / WTS,WA,HAMERSLEY IRON PTY. LIMITED,49 004 558 276," 138,707 ",Production-adjusted baseline," 188,503 ",0,0,"49,796"," 138,707 ",n/a,n/a,-,-,-
Tomago Aluminium Smelter,NSW,TOMAGO ALUMINIUM COMPANY PTY LTD,68 001 862 228," 1,230,271 ",Production-adjusted baseline," 1,177,432 ",0,0,0," 1,177,432 ",n/a,n/a,-,-,-
Tropicana Gold Mine,WA,ANGLOGOLD ASHANTI AUSTRALIA LIMITED,42 008 737 424," 352,345 ",Production-adjusted baseline," 316,050 ",0,0,0," 316,050 ",n/a,n/a,-,-,-
TT-Line - Victorian Operation,VIC,TT-LINE COMPANY PTY. LTD.,39 061 996 174," 161,416 ",Calculated baseline," 162,096 ",0,0,680," 161,416 ",n/a,n/a,-,-,-
United Coal Mine,NSW,UNITED COLLIERIES PTY LTD,67 001 990 209," 330,425 ",Calculated baseline," 291,241 ",0,0,0," 291,241 ",n/a,n/a,-,-,-
V/Line,VIC,V/LINE CORPORATION,91 273 289 190," 140,686 ",Calculated baseline," 126,017 ",0,0,0," 126,017 ",n/a,n/a,-,-,-
Varanus Hub,WA,SANTOS LIMITED,80 007 550 923," 463,700 ",Calculated baseline," 256,543 ",0,0,0," 256,543 ",n/a,n/a,-,-,-
Vincent Project Venture,WA,WOODSIDE ENERGY LTD.,63 005 482 986, n/a ,Multi-year monitoring period," 234,485 ",0,0,0,n/a," 944,149 "," 1,041,774 ",-,-,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Virgin Australia Holdings National Transport Facility,National,VIRGIN AUSTRALIA HOLDINGS LIMITED,54 100 686 226," 2,397,885 ",Calculated baseline," 2,032,585 ",0,0,0," 2,032,585 ",n/a,n/a,-,-,-
Wagerup Alumina Refinery,WA,ALCOA OF AUSTRALIA LIMITED,93 004 879 298," 1,724,761 ",Production-adjusted baseline," 1,289,067 ",0,0,0," 1,289,067 ",n/a,n/a,-,-,-
Wambo Coal Mine,NSW,WAMBO COAL PTY LIMITED,13 000 668 057, n/a ,Multi-year monitoring period," 207,015 ",0,0,0,n/a," 846,579 "," 935,976 ",-,-,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Warkworth Mine,NSW,WARKWORTH MINING LTD,42 001 385 842," 1,018,733 ",Calculated baseline," 842,536 ",0,0,0," 842,536 ",n/a,n/a,-,-,-
West Angelas Mine,WA,ROBE RIVER MINING CO. PTY. LTD.,71 008 694 246," 331,789 ",Calculated baseline," 292,917 ",0,0,0," 292,917 ",n/a,n/a,-,-,-
Western Australia,WA,ALLIANCE AVIATION SERVICES LIMITED,96 153 361 525, n/a ,Multi-year monitoring period," 102,252 ",0,0,"10,273",n/a," 300,000 "," 300,000 ",-,-,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Western Port Works,VIC,BLUESCOPE STEEL LIMITED,16 000 011 058," 121,212 ",Production-adjusted baseline," 106,289 ",0,0,0," 106,289 ",n/a,n/a,-,-,-
Wheatstone Operations,WA,CHEVRON AUSTRALIA PTY LTD,29 086 197 757," 4,343,119 ",Calculated baseline," 3,789,472 ",0,0,0," 3,789,472 ",n/a,n/a,-,-,-
Wilpinjong Coal Mine,NSW,WILPINJONG COAL PTY LTD,87 104 594 694," 208,562 ",Calculated baseline," 154,987 ",0,0,0," 154,987 ",n/a,n/a,-,-,-
Wodgina Operations,WA,MARBL LITHIUM OPERATIONS PTY LTD,52 637 077 608," 100,000 ",Default," 111,027 ",0,0,"11,027"," 100,000 ",n/a,n/a,-,-,-
WOR01,WA,SOUTH32 WORSLEY ALUMINA PTY LTD,58 008 905 155," 3,492,670 ",Production-adjusted baseline," 3,453,837 ",0,0,0," 3,453,837 ",n/a,n/a,-,-,-
YAN01 Yandi/Marillana Creek Mine - MNG Facility,WA,BHP IRON ORE PTY LTD,46 008 700 981," 112,093 ",Production-adjusted baseline," 111,995 ",0,0,0," 111,995 ",n/a,n/a,-,-,-
Yandicoogina Mine,WA,HAMERSLEY IRON - YANDI PTY LIMITED,56 009 181 793," 258,329 ",Production-adjusted baseline," 173,685 ",0,0,0," 173,685 ",n/a,n/a,-,-,-
Yarnima Power Station,WA,BHP IRON ORE PTY LTD,46 008 700 981," 421,548 ",Production-adjusted baseline," 336,179 ",0,0,0," 336,179 ",n/a,n/a,-,-,-
Yarrabee Coal Mine (Open Cut),QLD,YARRABEE COAL COMPANY PTY. LTD.,30 010 849 402," 190,339 ",Calculated baseline," 164,091 ",0,0,0," 164,091 ",n/a,n/a,-,-,-
Yarwun Nitrates,QLD,ORICA AUSTRALIA PTY LTD,99 004 117 828," 343,615 ",Production-adjusted baseline," 384,417 ",0,0,"60,000"," 324,417 ",n/a,n/a,-,-,-
YPF AMMONIA PLANT,WA,YARA PILBARA FERTILISERS PTY LTD,74 095 441 151," 1,512,283 ",Calculated baseline," 1,503,171 ",0,0,0," 1,503,171 ",n/a,n/a,-,-,-
