Facility name,State of operation,Responsible emitter,Responsible emitter ABN/ACN, Baseline number ,Type of baseline,Reported covered Emissions,ACCUs issued,ACCUs deemed surrender,ACCUs surrendered, Net emissions number ,MYMP net emissions number,MYMP baseline number,Excess emissions situation start date (if applicable),Excess emissions situation end date (if applicable),Notes
CEM NSW Berrima,NSW,BORAL LIMITED,13 008 421 761," 1,075,006 ",Production-adjusted baseline," 979,872 ",0,0,0," 979,872 ",n/a,n/a,-,-,-
Chandala Processing Plant,WA,TIWEST PTY LTD,59 009 343 364," 188,085 ",Production-adjusted baseline," 187,005 ",0,0,0," 187,005 ",n/a,n/a,-,-,-
Christmas Creek Mine,WA,CHICHESTER METALS PTY LTD,83 109 264 262," 596,884 ",Calculated baseline," 374,494 ",0,0,0," 374,494 ",n/a,n/a,-,-,-
Clermont Coal Operations,QLD,CLERMONT COAL OPERATIONS PTY LIMITED,54 166 342 418," 437,255 ",Calculated baseline," 362,736 ",0,0,0," 362,736 ",n/a,n/a,-,-,-
Cloudbreak Mine,WA,CHICHESTER METALS PTY LTD,83 109 264 262," 405,681 ",Calculated baseline," 287,001 ",0,0,0," 287,001 ",n/a,n/a,-,-,-
Cockburn Operations,WA,ADBRI LIMITED,15 007 596 018," 771,015 ",Production-adjusted baseline," 724,378 ",0,0,0," 724,378 ",n/a,n/a,-,-,-
Collinsville Mine,QLD,NC COAL COMPANY PTY LIMITED,71 079 862 936," 144,171 ",Calculated baseline," 144,754 ",0,0,583," 144,171 ",n/a,n/a,-,-,-
Condabri Talinga Orana,QLD,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,67 105 423 532," 712,032 ",Production-adjusted baseline," 267,689 ",0,0,0," 267,689 ",n/a,n/a,-,-,-
Coppabella Coal Mine,QLD,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,65 077 890 932," 203,763 ",Calculated baseline," 197,262 ",0,0,0," 197,262 ",n/a,n/a,-,-,-
Cowal Operations,NSW,EVOLUTION MINING (COWAL) PTY LIMITED,75 007 857 598, n/a ,Multi-year monitoring period," 104,155 ",0,0,0,n/a,n/a,n/a,-,-,-
CSBP Kwinana Facility,WA,CSBP LIMITED,81 008 668 371," 940,409 ",Production-adjusted baseline," 685,081 ",0,0,0," 685,081 ",n/a,n/a,-,-,-
CTC WA Facility,WA,CENTURION TRANSPORT CO. PTY LTD,42 008 746 334," 125,199 ",Production-adjusted baseline," 108,915 ",0,0,0," 108,915 ",n/a,n/a,-,-,-
Curragh Mine,QLD,CORONADO AUSTRALIA HOLDINGS PTY LTD,23 623 524 989," 1,255,125 ",Calculated baseline," 1,142,690 ",0,0,0," 1,142,690 ",n/a,n/a,-,-,-
Curtis Island GLNG Plant,QLD,SANTOS LIMITED,80 007 550 923," 1,810,046 ",Production-adjusted baseline," 1,608,188 ",0,0,0," 1,608,188 ",n/a,n/a,-,-,-
