Facility name,Responsible emitter,State/Territory of operation,ANZSIC,ERC,Baseline emissions number,Covered emissions,Borrowing adjustment amount,ACCUs issued,ACCUs deemed surrendered,ACCUs surrendered,SMCs surrendered,Net emissions number,Net position number,SMCs issued,Units relinquished,Cumulative MYMP net emissions number,Cumulative MYMP net position number,GHG Carbon dioxide,GHG Methane,GHG Nitrous oxide,GHG Other,Notes
Pacific National National Transport Facility,PACIFIC NATIONAL PTY LTD,National,Rail freight transport (471),0.902,"643,198","728,189",0,"18,975",0,"103,966",0,"643,198",0,0,0,-,-,"723,061","1,033","4,095",0,-
Paraburdoo Mine,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.902,"100,000","139,337",0,0,0,"63,907",0,"75,430","-24,570",0,0,-,-,"138,721",198,418,0,-
Parkhurst Magnesia Manufacturing Plant,QMAG PTY LIMITED,QLD,Other non-metallic mineral product manufacturing (209),0.980,"264,318","264,019",0,0,0,0,0,"264,019",-299,299,0,-,-,"263,837",137,44,1,-
Peak Downs Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.902,"431,563","480,592",0,0,0,"49,029",0,"431,563",0,0,0,-,-,"462,374","16,892","1,316",10,-
Phosphate Hill,DYNO NOBEL LIMITED,QLD,Fertiliser and pesticide manufacturing (183),0.980,"446,062","472,151",0,0,0,0,"26,089","446,062",0,0,0,-,-,"471,361",588,195,7,-
Pilbara Rail Operations,PILBARA IRON PTY LTD,WA,Rail freight transport (471),0.902,"569,672","651,125",0,0,0,"81,453",0,"569,672",0,0,0,-,-,"646,504",924,"3,697",0,-
Pilgangoora Operations,PLS GROUP LIMITED,WA,Metal ore mining (080),0.902,"145,243","167,449",0,0,0,"22,206",0,"145,243",0,0,0,-,-,"166,665",215,569,0,-
Pinjarra Alumina Refinery,Alcoa of Australia Limited,WA,Basic non-ferrous metal manufacturing (213),0.902,"1,434,251","1,268,082",0,0,0,0,0,"1,268,082","-166,169","166,169",0,-,-,"1,264,776","2,511",777,18,-
Pluto LNG,Woodside Burrup Pty. Ltd.,WA,Oil and gas extraction (070),0.902,"1,743,127","1,888,110",0,0,0,"144,983",0,"1,743,127",0,0,0,-,-,"1,837,921","46,908","3,281",0,-
Poitrel Mine,STANMORE RESOURCES LIMITED,QLD,Coal mining (060),0.902,"248,897","309,856",0,0,0,"60,959",0,"248,897",0,0,0,-,-,"192,233","117,100",523,0,-
Port Bonython Plant,Santos Limited,SA,Oil and gas extraction (070),0.902,"100,000","77,542",0,0,0,0,0,"77,542","-22,458",0,0,-,-,"74,978","2,439",125,0,The facility is an eligible facility under 58B.
Port Kembla Steelworks,BLUESCOPE STEEL (AIS) PTY. LTD.,NSW,Basic ferrous metal manufacturing (211),0.980,"6,350,820","6,061,526",0,0,0,0,0,"6,061,526","-289,294","289,294",0,-,-,"6,061,116",187,155,68,-
Port Latta Pelletising Plant,GRANGE RESOURCES (TASMANIA) PTY LTD,TAS,Basic ferrous product manufacturing (212),0.902,"111,438","105,870",0,0,0,0,0,"105,870","-5,568","5,568",0,-,-,"105,602",189,79,0,-
Portland Aluminium Smelter,Alcoa Portland Aluminium Proprietary Limited,VIC,Basic non-ferrous metal manufacturing (213),0.941,"563,872","600,011",0,0,0,"31,371","4,768","563,872",0,0,0,-,-,"528,485",66,30,"71,430",-
Premier Coal Mine (Open Cut),Premier Coal Pty Ltd,WA,Coal mining (060),0.902,"100,000","106,030",0,0,0,"6,030",0,"100,000",0,0,0,-,-,"105,576",150,301,3,-
PRL03 Rail - IOR Facility,BHP IRON ORE PTY LTD,WA,Rail freight transport (471),0.902,"503,836","552,076",0,0,0,"48,240",0,"503,836",0,0,0,-,-,"548,178",784,"3,114",0,-
Qantas Airways Limited - National Facility,Qantas Airways Limited,National,Air and space transport (490),0.902,"4,404,094","4,622,401",0,0,0,"218,307",0,"4,404,094",0,0,0,-,-,"4,579,929",677,"40,424","1,371",-
Qenos Altona Manufacturing,QENOS PTY LTD,VIC,Basic chemical manufacturing (181),0.902,"100,000","68,353",0,0,0,0,0,"68,353","-31,647",0,0,-,-,"68,236",89,27,1,The facility is an eligible facility under 58B.
Qenos Botany Manufacturing,QENOS PTY LTD,NSW,Basic chemical manufacturing (181),0.902,"100,000","31,016",0,0,0,0,0,"31,016","-68,984",0,0,-,-,"30,937",56,22,1,The facility is an eligible facility under 58B.
QGC Upstream,QGC PTY LIMITED,QLD,Oil and gas extraction (070),0.902,"907,237","845,251",0,0,0,0,0,"845,251","-61,986","61,986",0,-,-,"630,375","214,100",612,164,-
Queensland Alumina Limited Refinery,QUEENSLAND ALUMINA LIMITED,QLD,Basic non-ferrous metal manufacturing (213),0.980,"2,814,233","3,169,994",0,0,0,"355,761",0,"2,814,233",0,0,0,-,-,"3,162,002","2,423","5,569",0,-
Queensland Curtis LNG Plant,QCLNG Operating Company Pty Ltd,QLD,Oil and gas extraction (070),0.902,"1,704,155","1,861,809",0,0,0,"45,198","112,456","1,704,155",0,0,0,-,-,"1,839,003","21,510","1,296",0,-
Queensland Nitrates Ammonium Nitrate Plant,Queensland Nitrates Pty Ltd,QLD,Basic chemical manufacturing (181),0.902,"162,397","163,243",0,0,0,0,846,"162,397",0,0,0,-,-,"150,118",209,"12,916",0,-
Rail,THE PILBARA INFRASTRUCTURE PTY LTD,WA,Rail freight transport (471),0.902,"240,979","264,806",0,0,0,"10,314","13,513","240,979",0,0,0,-,-,"262,955",375,"1,476",0,-
Railton,CEMENT AUSTRALIA (GOLIATH) PTY LIMITED,TAS,"Cement, lime, plaster and concrete product manufacturing (203)",0.909,"1,026,842","1,102,707",0,0,0,"75,865",0,"1,026,842",0,0,0,-,-,"1,101,698",170,839,0,-
Ravensthorpe Nickel Operation,FQM Australia Nickel Pty Ltd,WA,Metal ore mining (080),0.902,"100,000","5,876",0,0,0,0,0,"5,876","-94,124",0,0,-,-,"5,833",9,17,17,The facility is an eligible facility under 58B.
Ravenswood Mine,RAVENSWOOD GOLD PTY LTD,QLD,Metal ore mining (080),0.902,"214,665","143,978",0,0,0,0,0,"143,978","-70,687","70,687",0,-,-,"143,343",208,416,11,-
Ravensworth Operations,RAVENSWORTH OPERATIONS PTY LIMITED,NSW,Coal mining (060),0.902,"295,410","331,739",0,0,0,"36,329",0,"295,410",0,0,0,-,-,"241,052","90,003",681,3,-
Refinery Qld Lytton,Ampol Limited,QLD,Petroleum and coal product manufacturing (170),0.941,"596,810","644,669",0,0,0,"47,859",0,"596,810",0,0,0,-,-,"635,851","7,622","1,184",12,-
Rio Tinto Marine - Qld,Rio Tinto Shipping (Asia) Pte Limited,QLD,Water freight transport (481),0.902,"100,000","79,666",0,0,0,0,0,"79,666","-20,334",0,0,-,-,"79,110",78,478,0,The facility is an eligible facility under 58B.
Rio Tinto Weipa,RTA WEIPA PTY LTD,QLD,Metal ore mining (080),0.902,"243,584","277,044",0,0,0,"33,460",0,"243,584",0,0,0,-,-,"275,792",394,823,35,-
Rio Tinto Yarwun,RTA Yarwun Pty Ltd,QLD,Basic non-ferrous metal manufacturing (213),0.980,"1,910,570","2,045,310",0,0,0,"134,740",0,"1,910,570",0,0,0,-,-,"2,039,970","2,586","2,734",20,-
Rolleston Coal Mine,ROLLESTON COAL HOLDINGS PTY LIMITED,QLD,Coal mining (060),0.902,"181,244","196,617",0,0,0,"15,373",0,"181,244",0,0,0,-,-,"195,757",275,551,34,-
Roma Hub,Santos Limited,QLD,Oil and gas extraction (070),0.902,"152,421","105,321",0,0,0,0,0,"105,321","-47,100","47,100",0,-,-,"67,606","36,657",196,862,-
Roy Hill Mine,Roy Hill Holdings Pty Ltd,WA,Metal ore mining (080),0.902,"393,393","480,607",0,0,0,"87,214",0,"393,393",0,0,0,-,-,"478,393",671,"1,411",132,-
Russell Vale Colliery,WOLLONGONG RESOURCES PTY. LTD.,NSW,Coal mining (060),0.902,"89,800","160,035","-10,200",0,0,0,0,"160,035","70,235",0,0,"160,035","70,235","8,537","151,497",0,1,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Saraji Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.902,"349,197","383,551",0,0,0,"34,354",0,"349,197",0,0,0,-,-,"335,522","47,026",963,40,-
Savage River Mine,GRANGE RESOURCES (TASMANIA) PTY LTD,TAS,Metal ore mining (080),0.902,"100,000","110,066",0,0,0,0,0,"110,066","10,066",0,0,"229,224","29,224","109,598",156,312,0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Sewerage West,Melbourne Water Corporation,VIC,"Water supply, sewerage and drainage services (281)",0.902,"128,649","146,528",0,0,0,"20,000",0,"126,528","-2,121",0,0,-,-,45,"121,110","25,362",11,-
SIMEC Mining - Middleback Range Iron Ore Mine (Whyalla),ONESTEEL MANUFACTURING PTY LIMITED,SA,Metal ore mining (080),0.902,"100,000","61,296",0,0,0,0,0,"61,296","-38,704",0,0,-,-,"61,018",83,185,10,The facility is an eligible facility under 58B.
Sino Iron Project – Cape Preston,CITIC Pacific Mining Management Pty Ltd,WA,Metal ore mining (080),0.902,"792,477","836,882",0,0,0,"44,405",0,"792,477",0,0,0,-,-,"833,516","1,530",902,934,-
Solomon Mine,FMG SOLOMON PTY LTD,WA,Metal ore mining (080),0.902,"357,442","470,534",0,0,0,"42,881","70,211","357,442",0,0,0,-,-,"468,315",668,"1,389",162,-
Solomon Power Station,FMG SOLOMON PTY LTD,WA,Electricity generation (261),0.902,"474,965","436,601",0,0,0,0,0,"436,601","-38,364","38,364",0,-,-,"435,453",842,253,53,-
South Walker Creek,STANMORE RESOURCES LIMITED,QLD,Coal mining (060),0.902,"361,841","508,592",0,0,0,"76,064","70,687","361,841",0,0,0,-,-,"256,201","251,654",737,0,-
South West Queensland Pipeline,APA (SWQP) PTY LIMITED,QLD; SA,Pipeline and other transport (502),0.902,"124,644","140,864",0,0,0,"16,222",0,"124,642",-2,0,0,-,-,"118,827","21,966",71,0,-
South West Synthetic Rutile Operations,Iluka Resources Limited,WA,Metal ore mining (080),0.902,"238,856","285,198",0,0,0,"46,342",0,"238,856",0,0,0,-,-,"285,155",27,10,6,-
Spring Gully Reedy Creek Combabula,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,QLD,Oil and gas extraction (070),0.902,"422,811","316,959",0,0,0,0,0,"316,959","-105,852","105,852",0,-,-,"204,469","111,989",303,198,-
Start up and Operations of the Ichthys LNG Project,INPEX Operations Australia Pty Ltd,NT,Oil and gas extraction (070),0.902,"6,322,859","6,255,335",0,0,0,0,0,"6,255,335","-67,524","67,524",0,-,-,"6,128,818","118,894","5,273","2,350",-
Sunrise Dam,AngloGold Ashanti Australia Limited,WA,Metal ore mining (080),0.902,"137,390","163,952",0,0,0,"26,562",0,"137,390",0,0,0,-,-,"163,434",292,206,20,-
TAHMOOR COAL MINE,TAHMOOR COAL PTY LTD,NSW,Coal mining (060),0.902,"731,110","757,886",0,0,0,0,0,"757,886","26,776",0,0,-,-,"149,904","607,813",164,5,Please refer to the excess emissions situation table for more information.
Telfer Gold Mine,Newcrest Mining Limited,WA,Metal ore mining (080),0.902,"143,577","119,821",0,0,0,0,0,"119,821","-23,756","23,756",0,-,-,"119,400",204,194,23,-
Telfer Gold Mine,GREATLAND HOLDINGS GROUP PTY LTD,WA,Metal ore mining (080),0.902,"192,357","261,212",0,0,0,"68,855",0,"192,357",0,0,0,-,-,"260,431",476,282,23,"As the facility surrendered 30% or more of its baseline in ACCUs, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Thunderbox Operations,NORTHERN STAR (THUNDERBOX) PTY LTD,WA,Metal ore mining (080),0.902,"180,197","190,387",0,0,0,0,"10,190","180,197",0,0,0,-,-,"189,728",317,333,9,-
Tom Price Mine / WTS,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.902,"138,056","172,874",0,0,0,"34,818",0,"138,056",0,0,0,-,-,"172,092",250,532,0,-
Tomago Aluminium Smelter,TOMAGO ALUMINIUM COMPANY PTY LTD,NSW,Basic non-ferrous metal manufacturing (213),0.902,"1,030,974","1,087,025",0,0,0,"56,051",0,"1,030,974",0,0,0,-,-,"1,011,713",164,67,"75,081",-
Tropicana Gold Mine,AngloGold Ashanti Australia Limited,WA,Metal ore mining (080),0.902,"285,439","280,553",0,0,0,0,0,"280,553","-4,886","4,886",0,-,-,"279,578",467,493,15,-
TT-Line - Victorian Operation,TT-Line Company Pty. Ltd.,VIC,Water passenger transport (482),0.902,"112,369","154,713",0,0,0,"42,344",0,"112,369",0,0,0,-,-,"153,661",218,834,0,"As the facility surrendered 30% or more of its baseline in ACCUs, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
United Coal Mine,UNITED COLLIERIES PTY LTD,NSW,Coal mining (060),0.902,"270,767","488,260",0,0,0,"74,461","143,032","270,767",0,0,0,-,-,"195,036","292,707",517,0,-
V/Line,V/Line Corporation,VIC,Rail passenger transport (472),0.902,"168,013","151,324",0,0,0,0,0,"151,324","-16,689","16,689",0,-,-,"150,250",209,865,0,-
Vales Point Power Station,Delta Power & Energy Pty Ltd,NSW,Coal mining (060),0.902,"485,087","563,387","-15,914",0,0,"40,000","38,300","485,087",0,0,0,-,-,"29,082","534,292",3,10,-
Varanus Hub,Santos Limited,WA,Oil and gas extraction (070),0.902,"227,595","312,681",0,0,0,"66,000","19,086","227,595",0,0,0,-,-,"281,118","30,931",632,0,-
Vincent Project Venture,Woodside Energy Ltd.,WA,Oil and gas extraction (070),0.902,"261,109","282,383",0,0,0,"21,275",0,"261,108",-1,0,0,-,-,"268,030","13,882",471,0,-
Virgin Australia Holdings National Transport Facility,VIRGIN AUSTRALIA HOLDINGS LIMITED,National,Air and space transport (490),0.902,"2,267,645","2,215,462",0,0,0,0,0,"2,215,462","-52,183","52,183",0,-,-,"2,196,222",317,"18,923",0,-
WA Transport facility,MGM BULK PTY LTD,WA,Road freight transport (461),0.902,"100,000","109,830",0,0,0,"9,830",0,"100,000",0,0,0,-,-,"109,052",156,622,0,-
Wagerup Alumina Refinery,Alcoa of Australia Limited,WA,Basic non-ferrous metal manufacturing (213),0.902,"1,217,338","1,306,994",0,0,0,0,"89,656","1,217,338",0,0,0,-,-,"1,303,577","2,593",808,16,-
Wambo Coal Mine,WAMBO COAL PTY LIMITED,NSW,Coal mining (060),0.902,"193,130","139,316",0,0,0,0,0,"139,316","-53,814","53,814",0,-,-,"21,931","117,353",26,6,-
Warkworth Mine,Warkworth Mining Ltd,NSW,Coal mining (060),0.902,"763,046","1,064,719",0,0,0,"301,673",0,"763,046",0,0,0,-,-,"359,048","704,713",950,8,"As the facility surrendered 30% or more of its baseline in ACCUs, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
West Angelas Mine,Robe River Mining Co. Pty. Ltd.,WA,Metal ore mining (080),0.902,"204,720","264,443",0,0,0,"59,723",0,"204,720",0,0,0,-,-,"263,304",376,763,0,-
West Pilbara Iron Ore Project,ONSLOW IRON PTY LTD,WA,Metal ore mining (080),0.902,"100,000","135,870",0,0,0,"35,870",0,"100,000",0,0,0,-,-,"135,293",192,385,0,"As the facility surrendered 30% or more of its baseline in ACCUs, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Western Port Works,BlueScope Steel Limited,VIC,Basic ferrous metal manufacturing (211),0.902,"100,000","81,563",0,0,0,0,0,"81,563","-18,437","1,138",0,-,-,"81,328",147,72,16,The facility is an eligible facility under 58B.
Wheatstone Operations,CHEVRON AUSTRALIA PTY LTD,WA,Oil and gas extraction (070),0.902,"4,025,022","4,020,667",0,0,0,0,0,"4,020,667","-4,355","4,355",0,-,-,"3,732,749","282,493","4,880",545,-
Wilpinjong Coal Mine,WILPINJONG COAL PTY LTD,NSW,Coal mining (060),0.902,"173,119","164,904",0,0,0,0,0,"164,904","-8,215","8,215",0,-,-,"161,903","2,589",407,5,-
Wodgina Lithium Project,MARBL Lithium Operations Pty Ltd,WA,Metal ore mining (080),0.902,"138,301","169,821",0,0,0,"31,520",0,"138,301",0,0,0,-,-,"169,230",282,302,7,-
Woodlawn Bioreactor,Veolia Environmental Services (Australia) Pty Ltd,NSW,"Waste treatment, disposal and remediation services (292)",0.902,"188,427","133,925",0,"24,920",0,0,0,"158,845","-29,582",0,0,-,-,"7,378","126,500",43,4,The facility is covered by a landfill baseline.
WOR01,South32 Worsley Alumina Pty Ltd,WA,Basic non-ferrous metal manufacturing (213),0.902,"3,087,049","3,218,588",0,0,0,"63,499","68,040","3,087,049",0,0,0,-,-,"3,209,037","3,621","5,605",325,-
YAN01 Yandi/Marillana Creek Mine - MNG Facility,BHP IRON ORE PTY LTD,WA,Metal ore mining (080),0.902,"100,000","106,656",0,0,0,"6,656",0,"100,000",0,0,0,-,-,"106,123",152,331,50,-
Yandicoogina Mine,Hamersley Iron - Yandi Pty Limited,WA,Metal ore mining (080),0.902,"123,266","151,953",0,0,0,"28,687",0,"123,266",0,0,0,-,-,"151,251",232,470,0,-
Yarnima Power Station,BHP IRON ORE PTY LTD,WA,Electricity generation (261),0.902,"324,820","364,582",0,0,0,"39,762",0,"324,820",0,0,0,-,-,"363,618",723,241,0,-
Yarrabee Coal Mine (Open Cut),YARRABEE COAL COMPANY PTY. LTD.,QLD,Coal mining (060),0.902,"201,079","241,396",0,0,0,"40,317",0,"201,079",0,0,0,-,-,"132,383","108,633",380,0,-
Yarwun Nitrates,ORICA AUSTRALIA PTY LTD,QLD,Other basic chemical product manufacturing (189),0.902,"282,537","80,908",0,0,0,0,0,"80,908","-201,629","124,303",0,"458,247","-124,303","6,170",12,"74,726",0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
YPF AMMONIA PLANT,Yara Pilbara Fertilisers Pty Ltd,WA,Fertiliser and pesticide manufacturing (183),0.980,"1,680,100","1,637,599",0,0,0,0,0,"1,637,599","-42,501","42,501",0,-,-,"1,636,513",834,252,0,-
