Facility name,Responsible emitter,State/Territory of operation,ANZSIC,ERC,Baseline emissions number,Covered emissions,Borrowing adjustment amount,ACCUs issued,ACCUs deemed surrendered,ACCUs surrendered,SMCs surrendered,Net emissions number,Net position number,SMCs issued,Units relinquished,Cumulative MYMP net emissions number,Cumulative MYMP net position number,GHG Carbon dioxide,GHG Methane,GHG Nitrous oxide,GHG Other,Notes
Fimiston Operations,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,WA,Metal ore mining (080),0.902,"125,151","271,036",0,0,0,"136,139","9,746","125,151",0,0,0,-,-,"269,817",393,786,40,"As the facility surrendered 30% or more of its baseline in ACCUs, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Fisherman's Landing - Clinker & Cement,CEMENT AUSTRALIA (QUEENSLAND) PTY LIMITED,QLD,"Cement, lime, plaster and concrete product manufacturing (203)",0.902,"1,291,368","1,338,072",0,0,0,"46,704",0,"1,291,368",0,0,0,-,-,"1,336,493",257,"1,322",0,-
Fisherman's Landing - Lime,CEMENT AUSTRALIA (QUEENSLAND) PTY LIMITED,QLD,"Cement, lime, plaster and concrete product manufacturing (203)",0.934,"173,709","191,984",0,0,0,"18,275",0,"173,709",0,0,0,-,-,"191,756",40,188,0,-
FLNG,SHELL AUSTRALIA PTY LTD,WA,Oil and gas extraction (070),0.902,"3,675,438","2,253,798",0,0,0,0,0,"2,253,798","-1,421,640","1,421,640",0,-,-,"2,163,785","88,197","1,799",17,-
Foxleigh Mine,FOXLEIGH MANAGEMENT PTY LTD,QLD,Coal mining (060),0.902,"206,135","266,489",0,0,0,"60,354",0,"206,135",0,0,0,-,-,"160,149","105,878",462,0,-
Geelong Refinery,Viva Energy Refining Pty Ltd,VIC,Petroleum and coal product manufacturing (170),0.980,"954,727","1,061,314",0,0,0,"106,587",0,"954,727",0,0,0,-,-,"1,049,250","9,046","1,750","1,268",-
GEM01,Groote Eylandt Mining Company Proprietary Limited,NT,Metal ore mining (080),0.902,"100,000","135,299",0,0,0,0,"35,299","100,000",0,0,0,-,-,"134,438",78,766,17,-
Gibson Island,DYNO NOBEL LIMITED,QLD,Fertiliser and pesticide manufacturing (183),0.902,"100,000",294,0,0,0,0,0,294,"-99,706",0,0,-,-,293,0,1,0,The facility is an eligible facility under 58B.
Gippsland Basin facility,ESSO AUSTRALIA RESOURCES PTY LTD,VIC,Oil and gas extraction (070),0.902,"1,329,204","1,634,475",0,0,0,"305,272",0,"1,329,203",-1,0,0,-,-,"1,533,563","97,264","3,648",0,-
Goldfields Gas Transmission Pipeline,Goldfields Gas Transmission Pty Ltd,WA,Pipeline and other transport (502),0.902,"100,000","95,267",0,0,0,0,0,"95,267","-4,733",0,0,-,-,"73,636","21,588",43,0,The facility is an eligible facility under 58B.
Goonyella Broadmeadow Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.902,"890,016","1,358,763",0,0,0,"468,747",0,"890,016",0,0,0,-,-,"486,637","870,506","1,443",177,"As the facility surrendered 30% or more of its baseline in ACCUs, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Gorgon Operations,CHEVRON AUSTRALIA PTY LTD,WA,Oil and gas extraction (070),0.902,"8,543,442","9,021,856",0,0,0,"478,414",0,"8,543,442",0,0,0,-,-,"8,760,179","252,429","8,460",788,-
Gove Operations,RTA GOVE PTY LIMITED,NT,Basic non-ferrous metal manufacturing (213),0.902,"108,964","135,550",0,0,0,"26,586",0,"108,964",0,0,0,-,-,"134,947",193,398,12,-
Granny Smith Mine Site,GSM MINING COMPANY PTY LTD,WA,Metal ore mining (080),0.902,"106,554","123,215",0,0,0,"16,661",0,"106,554",0,0,0,-,-,"122,818",224,172,1,-
Greenbushes Lithium Operation,Talison Lithium Australia Pty Ltd,WA,Metal ore mining (080),0.902,"100,000","127,780",0,0,0,"27,780",0,"100,000",0,0,0,-,-,"127,163",183,378,56,-
Grosvenor Mine,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,QLD,Coal mining (060),0.902,"100,000","24,626",0,0,0,0,0,"24,626","-75,374",0,0,-,-,"18,705","5,805",90,26,The facility is an eligible facility under 58B.
Gruyere Mine Site,Gruyere Mining Company Pty Ltd,WA,Metal ore mining (080),0.902,"190,697","267,882",0,0,0,"77,185",0,"190,697",0,0,0,-,-,"266,980",451,451,0,"As the facility surrendered 30% or more of its baseline in ACCUs, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Hail Creek Mine,HAIL CREEK COAL PTY LTD,QLD,Coal mining (060),0.902,"1,237,293","987,836",0,0,0,0,0,"987,836","-249,457","249,457",0,-,-,"326,545","660,358",916,17,-
Hope Downs 1 Mine,Hamersley HMS Pty Ltd,WA,Metal ore mining (080),0.902,"100,000","161,539",0,0,0,"61,539",0,"100,000",0,0,0,-,-,"160,841",229,469,0,"As the facility surrendered 30% or more of its baseline in ACCUs, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Hope Downs 4 Mine,Hamersley HMS Pty Ltd,WA,Metal ore mining (080),0.902,"100,000","143,256",0,0,0,"43,256",0,"100,000",0,0,0,-,-,"142,636",204,416,0,"As the facility surrendered 30% or more of its baseline in ACCUs, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Hunter Valley Operations mine,HV OPERATIONS PTY LTD,NSW,Coal mining (060),0.902,"630,086","670,583",0,0,0,"40,497",0,"630,086",0,0,0,-,-,"367,108","302,459",997,19,-
HVY01 Hunter Valley Energy Coal - CCL Facility,Hunter Valley Energy Coal Pty Ltd,NSW,Coal mining (060),0.902,"538,040","548,294",0,0,0,"10,254",0,"538,040",0,0,0,-,-,"510,971","35,854","1,462",7,-
InfraBuild Steel - Laverton Steel Mill,THE AUSTRALIAN STEEL COMPANY (OPERATIONS) PTY LTD,VIC,Basic ferrous metal manufacturing (211),0.902,"105,155","111,329",0,0,0,"6,174",0,"105,155",0,0,0,-,-,"111,147",129,42,11,-
Integra Underground Mine,HV Coking Coal Pty Limited,NSW,Coal mining (060),0.902,"100,000","153,496",0,0,0,"27,500","25,996","100,000",0,0,0,-,-,"2,869","150,621",2,4,-
Iron Bridge Mine,IB Operations Pty Ltd,WA,Metal ore mining (080),0.902,"100,000","156,160",0,0,0,"24,819","31,341","100,000",0,0,0,-,-,"155,458",222,465,15,-
Isaac Plains Complex,STANMORE RESOURCES LIMITED,QLD,Coal mining (060),0.902,"159,941","207,822",0,0,0,"47,881",0,"159,941",0,0,0,-,-,"97,911","109,622",289,0,-
Jax Mine,Jax Coal Pty Ltd,QLD,Coal mining (060),0.902,"110,693","114,373",0,0,0,"3,680",0,"110,693",0,0,0,-,-,"46,740","67,497",136,0,-
Jellinbah Mine,JELLINBAH MINING PTY LTD,QLD,Coal mining (060),0.902,"337,996","406,136",0,0,0,"68,140",0,"337,996",0,0,0,-,-,"198,421","207,143",572,0,-
JGN,Jemena Gas Networks (NSW) Ltd,NSW,Gas supply (270),0.902,"314,603","272,434",0,0,0,0,0,"272,434","-42,169","42,169",0,-,-,"4,153","268,261",20,0,-
Jimblebar Mine,BHP IRON ORE PTY LTD,WA,Metal ore mining (080),0.902,"278,021","341,862",0,0,0,"63,841",0,"278,021",0,0,0,-,-,"340,381",487,994,0,-
Jundee Gold Mine,NORTHERN STAR RESOURCES LIMITED,WA,Metal ore mining (080),0.902,"140,519","115,913",0,0,0,0,0,"115,913","-24,606","24,606",0,-,-,"115,474",184,232,23,-
Karlawinda Gold Project,Capricorn Metals Limited,WA,Metal ore mining (080),0.902,"100,000","109,583",0,0,0,"9,583",0,"100,000",0,0,0,-,-,"109,067",179,337,0,-
Kemerton Silicon Smelter,SIMCOA OPERATIONS PTY. LTD.,WA,Basic non-ferrous metal manufacturing (213),0.902,"100,000","112,136",0,0,0,0,0,"112,136","12,136",0,0,"112,136","12,136","112,107",12,7,10,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Kestrel Mine,Kestrel Coal Group Pty Ltd,QLD,Coal mining (060),0.902,"708,388","1,263,099",0,0,0,"504,711","50,000","708,388",0,0,0,-,-,"412,496","848,423","2,161",19,"As the facility surrendered 30% or more of its baseline in ACCUs, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
King of the Hills,GREENSTONE RESOURCES (WA) PTY LTD,WA,Metal ore mining (080),0.902,"158,105","136,354",0,0,0,0,0,"136,354","-21,751","21,751",0,-,-,"135,856",228,270,0,-
Koodaideri Mine,Mount Bruce Mining Pty Ltd,WA,Metal ore mining (080),0.902,"593,864","150,607",0,0,0,0,0,"150,607","-443,257","443,257",0,-,-,"149,959",214,434,0,-
Kooragang Island,ORICA AUSTRALIA PTY LTD,NSW,Other basic chemical product manufacturing (189),0.902,"921,488","582,845",0,"596,177","260,000",0,0,"919,022","-2,466",0,0,-,-,"568,139",455,"14,247",4,-
Kwinana Alumina Refinery,Alcoa of Australia Limited,WA,Basic non-ferrous metal manufacturing (213),0.980,"100,000","139,861",0,0,0,0,"39,861","100,000",0,0,0,-,-,"139,471",270,112,8,-
Kwinana Pigment Plant,Tronox Management Pty Ltd,WA,Basic chemical manufacturing (181),0.980,"278,742","311,831",0,0,0,"23,445","9,644","278,742",0,0,0,-,-,"311,261",422,140,8,-
Lake Vermont Mine,THIESS PTY LTD,QLD,Coal mining (060),0.902,"294,328","318,955",0,0,0,"24,627",0,"294,328",0,0,0,-,-,"223,871","94,470",611,3,-
Leinster Power Station,TEC DESERT PTY LTD,WA,Electricity generation (261),0.902,"100,000","83,141",0,0,0,0,0,"83,141","-16,859",0,0,-,-,"82,924",164,51,2,The facility is an eligible facility under 58B.
Liberty Bell Bay,Liberty Bell Bay Pty Ltd,TAS,Basic ferrous metal manufacturing (211),0.941,"150,481","189,872",0,0,0,0,0,"189,872","39,391",0,0,-,-,"189,857",4,5,6,Please refer to the excess emissions situation table for more information.
Liberty Primary Steel Whyalla Steelworks,ONESTEEL MANUFACTURING PTY LIMITED,SA,Basic ferrous metal manufacturing (211),0.980,"838,562","1,287,610",0,0,0,"198,003",0,"1,089,607","251,045",0,0,-,-,"1,287,015",396,192,7,Please refer to the excess emissions situation table for more information.
Macedon,WOODSIDE ENERGY GLOBAL PTY LTD,WA,Oil and gas extraction (070),0.902,"100,000","113,092",0,0,0,"13,092",0,"100,000",0,0,0,-,-,"106,399","6,621",72,0,-
Mandalong Mine,CENTENNIAL MANDALONG PTY LIMITED,NSW,Coal mining (060),0.902,"473,844","632,944",0,0,0,"68,419","90,681","473,844",0,0,0,-,-,"24,207","608,693",39,5,-
Mangoola,MANGOOLA COAL OPERATIONS PTY LIMITED,NSW,Coal mining (060),0.902,"174,392","143,013",0,0,0,0,0,"143,013","-31,379","31,379",0,-,-,"135,684","6,935",379,15,-
Marandoo Mine,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.902,"100,000","153,982",0,0,0,"53,982",0,"100,000",0,0,0,-,-,"153,321",218,443,0,"As the facility surrendered 30% or more of its baseline in ACCUs, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Maules Creek Open Cut Mine,MAULES CREEK COAL PTY LTD,NSW,Coal mining (060),0.902,"285,862","283,315",0,0,0,0,0,"283,315","-2,547","2,547",0,-,-,"281,672",861,778,4,-
McArthur River Mine Operations,MCARTHUR RIVER MINING PTY. LTD.,NT,Metal ore mining (080),0.902,"100,000","118,072",0,0,0,"1,309","16,763","100,000",0,0,0,-,-,"117,564",168,340,0,-
McArthur River Power Station,EDL NGD (NT) Pty Ltd,NT,Electricity generation (261),0.902,"132,352","154,742",0,0,0,"22,390",0,"132,352",0,0,0,-,-,"154,355",297,90,0,-
Metropolitan Colliery,METROPOLITAN COLLIERIES PTY. LTD.,NSW,Coal mining (060),0.902,"570,173","780,758",0,0,0,"167,544","43,041","570,173",0,0,0,-,-,"170,949","609,792",10,7,-
Middlemount Coal Mine,Middlemount Coal Pty Ltd,QLD,Coal mining (060),0.902,"232,392","272,169",0,0,0,"39,777",0,"232,392",0,0,0,-,-,"148,832","122,909",426,2,-
Montara Operations,JADESTONE ENERGY (EAGLE) PTY LTD,NT,Oil and gas extraction (070),0.902,"121,399","284,110",0,0,0,"162,711",0,"121,399",0,0,0,-,-,"235,280","47,425","1,403",2,"As the facility surrendered 30% or more of its baseline in ACCUs, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Moolarben Coal Mine (Open Cut & Underground),MOOLARBEN COAL OPERATIONS PTY LTD,NSW,Coal mining (060),0.902,"273,084","233,290",0,0,0,0,0,"233,290","-39,794","39,794",0,-,-,"213,720","19,037",528,5,-
Moomba Plant,Santos Limited,SA,Oil and gas extraction (070),0.902,"1,782,513","1,078,118",0,0,0,0,0,"1,078,118","-704,395","704,395",0,-,-,"997,212","80,476",426,4,-
Moorvale Coal Mine,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,QLD,Coal mining (060),0.902,"128,337","133,838",0,0,0,0,"5,501","128,337",0,0,0,-,-,"64,298","69,355",184,1,-
Moranbah,DYNO NOBEL LIMITED,QLD,Other basic chemical product manufacturing (189),0.902,"387,571","309,375",0,0,0,0,0,"309,375","-78,196","78,196",0,-,-,"292,844",296,"16,233",2,-
Moranbah North Mine,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,QLD,Coal mining (060),0.902,"645,924","1,406,857",0,0,0,"161,481","599,452","645,924",0,0,0,-,-,"150,999","1,255,106",728,24,-
Mount Isa Mines Copper and Zinc Operations,MOUNT ISA MINES LIMITED,QLD,Metal ore mining (080),0.902,"271,071","331,193",0,0,0,"60,122",0,"271,071",0,0,0,-,-,"330,177",341,556,119,-
Mount Pleasant Operations,MACH Energy Australia Pty Ltd,NSW,Coal mining (060),0.902,"239,365","221,984",0,0,0,0,0,"221,984","-17,381","17,381",0,-,-,"148,572","73,018",394,0,-
Mt Keith Power Station,TEC DESERT PTY LTD,WA,Electricity generation (261),0.902,"100,000","52,880",0,0,0,0,0,"52,880","-47,120",0,0,-,-,"52,621",104,33,122,The facility is an eligible facility under 58B.
Mt Owen Glendell Complex,MT OWEN PTY LIMITED,NSW,Coal mining (060),0.902,"188,003","223,994",0,0,0,"35,991",0,"188,003",0,0,0,-,-,"183,801","39,668",521,4,-
