Facility name,State of operation,Responsible emitter,Responsible emitter ABN/ACN,Baseline number,Type of baseline,Reported covered Emissions,ACCUs issued,ACCUs deemed surrender,ACCUs surrendered,Net emissions number,MYMP net emissions number, MYMP baseline number ,Excess emissions situation start date (if applicable),Excess emissions situation end date (if applicable),Notes,
Collinsville Mine,QLD,NC COAL COMPANY PTY LIMITED,71079862936,"144,171",Calculated baseline,"126,725",0,0,0,"126,725",n/a,n/a, - , - ,-,
Coppabella Coal Mine,QLD,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,65077890932,"203,763",Calculated baseline,"194,038",0,0,0,"194,038",n/a,n/a, - , - ,-,
Cowal Operations,NSW,EVOLUTION MINING (COWAL) PTY LIMITED,75007857598,n/a,Multi-year monitoring period,"101,373",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
CSBP Kwinana Facility,WA,CSBP Limited,81008668371,"885,913",Production-adjusted baseline,"629,391",0,0,0,"629,391",n/a,n/a, - , - ,-,
CTC WA Facility,WA,CENTURION TRANSPORT CO. PTY LTD,42008746334,"126,062",Production-adjusted baseline,"109,567",0,0,0,"109,567",n/a,n/a, - , - ,-,
Curragh Mine,QLD,CORONADO AUSTRALIA HOLDINGS PTY LTD,23623524989,n/a,Multi-year monitoring period,"861,201",0,0,0,n/a,"2,329,133","3,117,281", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Curtis Island GLNG Plant,QLD,Santos Limited,80007550923,"1,888,177",Calculated baseline,"1,685,966",0,0,0,"1,685,966",n/a,n/a, - , - ,-,
Dandenong,VIC,OCEANIA GLASS PTY LTD,99630152206,"123,348",Production-adjusted baseline,"116,420",0,0,0,"116,420",n/a,n/a, - , - ,-,
Darwin LNG Plant,NT,Santos Limited,80007550923,n/a,Multi-year monitoring period,"1,241,038",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Daunia Mine,QLD,BM Alliance Coal Operations Pty Limited,67096412752,"310,899",Production-adjusted baseline,"163,888",0,0,0,"163,888",n/a,n/a, - , - ,-,
Dawson Mine,QLD,ANGLO COAL (DAWSON MANAGEMENT) PTY LTD,15006746701,n/a,Multi-year monitoring period,"432,807",0,0,0,n/a,"1,439,012","2,035,987", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
DBNGP,WA,DBNGP (WA) Transmission Pty Limited,69081609190,"246,362",Calculated baseline,"224,323",0,0,0,"224,323",n/a,n/a, - , - ,-,
DEN01,NSW,Dendrobium Coal Pty Ltd,85098744088,"386,274",Calculated baseline,"232,076",0,0,0,"232,076",n/a,n/a, - , - ,-,
Dongara Operations,WA,ADBRI LIMITED,15007596018,"122,883",Production-adjusted baseline,"112,536",0,0,0,"112,536",n/a,n/a, - , - ,-,
Drake Mine,QLD,Drake Mine Management Pty Ltd,30612261453,n/a,Multi-year monitoring period,"208,972",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
