facility_id,year,mechanism,facility_name,responsible_emitter,state,anzsic,baseline,covered_emissions,net_emissions,mymp_baseline,mymp_net_emissions,notes
F0031,2020-21,legacy,Capcoal Mine,ANGLO COAL (CAPCOAL MANAGEMENT) PTY LIMITED,QLD,,,3245172.0,,11797035.0,11339278.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0014,2020-21,legacy,Baralaba Coal Mine,BARALABA COAL COMPANY PTY LTD,QLD,,,102549.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0049,2020-21,legacy,Curragh Mine,CORONADO AUSTRALIA HOLDINGS PTY LTD,QLD,,,852964.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0051,2020-21,legacy,Darwin LNG Plant,SANTOS LIMITED,NT,,,1590829.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0053,2020-21,legacy,Dawson Mine,ANGLO COAL (DAWSON MANAGEMENT) PTY LTD,QLD,,,435649.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0060,2020-21,legacy,Ensham Resources Minesite,ENSHAM RESOURCES PTY. LIMITED,QLD,,,551171.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0071,2020-21,legacy,Goldfields Gas Transmission Pipeline,GOLDFIELDS GAS TRANSMISSION PTY LTD,WA,,,121535.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0083,2020-21,legacy,HVY01 Hunter Valley Energy Coal - CCL Facility,HUNTER VALLEY ENERGY COAL PTY LTD,NSW,,,546521.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0242,2020-21,legacy,Mesa A Mine,ROBE RIVER MINING CO. PTY. LTD.,WA,,,114654.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0129,2020-21,legacy,Newman Operations,BHP IRON ORE PTY LTD,WA,,,349146.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0138,2020-21,legacy,North West Shelf Project,WOODSIDE ENERGY LTD.,WA,,,6784581.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0156,2020-21,legacy,Pluto LNG,WOODSIDE BURRUP PTY. LTD.,WA,,,1945741.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0157,2020-21,legacy,Poitrel Mine,BHP MITSUI COAL PTY LTD,QLD,,,201368.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0160,2020-21,legacy,Port Latta Pelletising Plant,GRANGE RESOURCES (TASMANIA) PTY LTD,TAS,,,118637.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0263,2020-21,legacy,Queensland,ALLIANCE AVIATION SERVICES LIMITED,QLD,,,101464.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0184,2020-21,legacy,Saraji Mine,BM ALLIANCE COAL OPERATIONS PTY LIMITED,QLD,,,438393.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0185,2020-21,legacy,Savage River Mine,GRANGE RESOURCES (TASMANIA) PTY LTD,TAS,,,96414.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0195,2020-21,legacy,Start up and Operations of the Ichthys LNG Project,INPEX OPERATIONS AUSTRALIA PTY LTD,NT,,,6351245.0,,14039314.0,13974927.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0274,2020-21,legacy,Victoria,CSL AUSTRALIA PTY LTD,VIC,,,47125.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0209,2020-21,legacy,Vincent Project Venture,WOODSIDE ENERGY LTD.,WA,,,353008.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0213,2020-21,legacy,Wambo Coal Mine,WAMBO COAL PTY LIMITED,NSW,,,395641.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0254,2020-21,legacy,Western Australia,ALLIANCE AVIATION SERVICES LIMITED,WA,,,103394.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0159,2020-21,legacy,Port Kembla Steelworks,BLUESCOPE STEEL (AIS) PTY. LTD.,NSW,,11040213.0,6260763.0,6260763.0,,, - 
F0073,2020-21,legacy,Gorgon Operations,CHEVRON AUSTRALIA PTY LTD,WA,,8365831.0,5460144.0,5460144.0,,, - 
F0164,2020-21,legacy,Qantas Airways Limited National Transport Facility,QANTAS AIRWAYS LIMITED,National,,4693619.0,2466674.0,2466674.0,,, - 
F0218,2020-21,legacy,Wheatstone Operations,CHEVRON AUSTRALIA PTY LTD,WA,,4343119.0,4025254.0,4025254.0,,, - 
