facility_id,year,mechanism,facility_name,responsible_emitter,state,anzsic,baseline,covered_emissions,net_emissions,mymp_baseline,mymp_net_emissions,notes
F0023,2020-21,legacy,Boggabri Coal Minesite,BOGGABRI COAL PTY LIMITED,NSW,,202244.0,184492.0,184492.0,,, - 
F0057,2020-21,legacy,Drake Mine,DRAKE MINE MANAGEMENT PTY LTD,QLD,,201231.0,183171.0,183171.0,,, - 
F0013,2020-21,legacy,Ballera,SANTOS LIMITED,QLD,,200749.0,176097.0,176097.0,,, - 
F0147,2020-21,legacy,Otway,BEACH ENERGY (OPERATIONS) LIMITED,VIC,,200355.0,129055.0,129055.0,,, - 
F0068,2020-21,legacy,GEM01,GROOTE EYLANDT MINING COMPANY PROPRIETARY LIMITED,NT,,195344.0,197582.0,195344.0,,, - 
F0226,2020-21,legacy,Yarrabee Coal Mine (Open Cut),YARRABEE COAL COMPANY PTY. LTD.,QLD,,190339.0,171635.0,171635.0,,, - 
F0011,2020-21,legacy,AusNet Gas Services Pty Ltd,AUSNET SERVICES HOLDINGS PTY LTD,VIC,,189563.0,185277.0,185277.0,,, - 
F0201,2020-21,legacy,Tom Price Mine / WTS,HAMERSLEY IRON PTY. LIMITED,WA,,188447.0,220784.0,188447.0,,, - 
F0058,2020-21,legacy,Duketon South Operations,REGIS RESOURCES LIMITED,WA,,186157.0,178940.0,178940.0,,, - 
F0283,2020-21,legacy,Lang Lang,BEACH ENERGY (OPERATIONS) LIMITED,VIC,,185553.0,119571.0,119571.0,,, - 
F0248,2020-21,legacy,Norske Skog Boyer Mill,NORSKE SKOG PAPER MILLS (AUSTRALIA) LIMITED,TAS,,183056.0,160293.0,160293.0,,,The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
F0111,2020-21,legacy,McArthur River Power Station,EDL NGD (NT) PTY LTD,NT,,177023.0,168784.0,168784.0,,, - 
F0260,2020-21,legacy,Liddell Coal Mine,LIDDELL COAL OPERATIONS PTY. LIMITED,NSW,,176827.0,168540.0,168540.0,,, - 
F0135,2020-21,legacy,NKW01 Nickel West Kwinana Facility,BHP BILLITON NICKEL WEST PTY LTD,WA,,176382.0,170612.0,170612.0,,, - 
F0192,2020-21,legacy,South West Queensland Pipeline,APA (SWQP) PTY LIMITED,QLD/SA,,176381.0,129592.0,129592.0,,, - 
F0241,2020-21,legacy,Koolyanobbing Iron Ore Operations,YILGARN IRON PTY LTD,WA,,176116.0,137803.0,137803.0,,, - 
F0272,2020-21,legacy,Ravensworth Underground Coal Mine,RESOURCE PACIFIC PTY LIMITED,NSW,,173779.0,155993.0,155993.0,,, - 
F0102,2020-21,legacy,Leinster Power Station,TEC DESERT PTY LTD,WA,,173336.0,151147.0,151147.0,,, - 
F0092,2020-21,legacy,Jundee Gold Mine,NORTHERN STAR RESOURCES LTD,WA,,173116.0,127944.0,127944.0,,, - 
F0196,2020-21,legacy,Sunrise Dam,ANGLOGOLD ASHANTI AUSTRALIA LIMITED,WA,,171958.0,163853.0,163853.0,,, - 
F0134,2020-21,legacy,NKS01 Nickel West Kalgoorlie Facility,BHP BILLITON NICKEL WEST PTY LTD,WA,,166573.0,157960.0,157960.0,,, - 
F0265,2020-21,legacy,Aurizon Rail Freight NSW,AURIZON OPERATIONS LIMITED,NSW,,166082.0,122234.0,122234.0,,, - 
F0180,2020-21,legacy,Rolleston Coal Mine,ROLLESTON COAL HOLDINGS PTY LIMITED,QLD,,163725.0,143655.0,143655.0,,, - 
F0252,2020-21,legacy,Ranger Mine,ENERGY RESOURCES OF AUSTRALIA LTD.,NT,,158654.0,107382.0,107382.0,,, - 
F0136,2020-21,legacy,NMK01 Nickel West Mt Keith Facility,BHP BILLITON NICKEL WEST PTY LTD,WA,,152368.0,123040.0,123040.0,,, - 
F0080,2020-21,legacy,Hope Downs 1 Mine,HAMERSLEY HMS PTY LTD,WA,,152296.0,155883.0,152296.0,,, - 
F0186,2020-21,legacy,Sewerage West,MELBOURNE WATER CORPORATION,VIC,,151472.0,146326.0,146326.0,,, - 
F0177,2020-21,legacy,Rio Tinto Marine - Qld,RIO TINTO SHIPPING (ASIA) PTE LTD,QLD,,144297.0,108109.0,108109.0,,, - 
F0043,2020-21,legacy,Collinsville Mine,NC COAL COMPANY PTY LIMITED,QLD,,144171.0,112115.0,112115.0,,, - 
F0030,2020-21,legacy,CAN01,SOUTH32 CANNINGTON PROPRIETARY LIMITED,QLD,,143326.0,124037.0,124037.0,,, - 
F0158,2020-21,legacy,Port Bonython Plant,SANTOS LIMITED,SA,,142034.0,120592.0,120592.0,,, - 
F0206,2020-21,legacy,V/Line,V/LINE CORPORATION,VIC,,140686.0,120324.0,120324.0,,, - 
F0074,2020-21,legacy,Gove Operations,RTA GOVE PTY LIMITED,NT,,131943.0,113073.0,131943.0,,,The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
F0217,2020-21,legacy,Western Port Works,BLUESCOPE STEEL LIMITED,VIC,,131238.0,111141.0,111141.0,,, - 
F0075,2020-21,legacy,Granny Smith Mine Site,GSM MINING COMPANY PTY LTD,WA,,126385.0,118138.0,124188.0,,,The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
F0110,2020-21,legacy,McArthur River Mine Operations,MCARTHUR RIVER MINING PTY. LTD.,NT,,126141.0,114423.0,114423.0,,, - 
F0233,2020-21,legacy,Dandenong,OCEANIA GLASS PTY LTD,VIC,,123348.0,111372.0,111372.0,,, - 
F0284,2020-21,legacy,Daandine Operations,ARROW (DAANDINE) PTY. LTD.,QLD,,122650.0,116417.0,116417.0,,, - 
F0187,2020-21,legacy,SIMEC Mining - Middleback Range Iron Ore Mine (Whyalla),ONESTEEL MANUFACTURING PTY LIMITED,SA,,121547.0,101894.0,101894.0,,, - 
F0149,2020-21,legacy,Paraburdoo Mine,HAMERSLEY IRON PTY. LIMITED,WA,,120836.0,133434.0,120836.0,,, - 
F0285,2020-21,legacy,Huntly Mine,ALCOA OF AUSTRALIA LIMITED,WA,,109357.0,100475.0,100475.0,,, - 
F0034,2020-21,legacy,Carosue Dam,NORTHERN STAR (CAROSUE DAM) PTY LTD,WA,,108460.0,108388.0,108388.0,,, - 
F0081,2020-21,legacy,Hope Downs 4 Mine,HAMERSLEY HMS PTY LTD,WA,,106522.0,105625.0,105625.0,,, - 
F0001,2021-22,legacy,1. Solid Waste Services - MRL,Cleanaway Waste Management Limited,VIC,,222121.0,101761.0,110987.0,,,The facility's net emissions number for 2021-22 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
F0002,2021-22,legacy,Angaston Operations,ADBRI LIMITED,SA,,103285.0,114588.0,103285.0,,,-
F0003,2021-22,legacy,APLNG Facility,CONOCOPHILLIPS AUSTRALIA OPERATIONS PTY LTD,QLD,,2381120.0,2132240.0,2132240.0,,,-
F0004,2021-22,legacy,APN01 Appin Colliery - ICH Facility,ENDEAVOUR COAL PTY LIMITED,NSW,,2470574.0,1589755.0,1589755.0,,,-
F0005,2021-22,legacy,APU01 Pyrenees - AOA Facility,WOODSIDE ENERGY GLOBAL PTY LTD,WA,,388666.0,181810.0,181810.0,,,-
F0006,2021-22,legacy,ARC01 Mining Area C - MNG Facility,BHP IRON ORE PTY LTD,WA,,763972.0,412089.0,412089.0,,,-
F0009,2021-22,legacy,Ashton Coal Mine (Underground),ASHTON COAL OPERATIONS PTY LIMITED,NSW,,871793.0,596235.0,596235.0,,,-
F0264,2021-22,legacy,ATCO Gas Australia Pty Ltd,ATCO Gas Australia GP Pty Ltd,WA,,187220.0,103813.0,103813.0,,,-
F0265,2021-22,legacy,Aurizon Rail Freight NSW,AURIZON OPERATIONS LIMITED,NSW,,151367.0,120406.0,120406.0,,,-
F0266,2021-22,legacy,Aurizon Rail Freight QLD,AURIZON OPERATIONS LIMITED,QLD,,263233.0,223097.0,223097.0,,,-
F0267,2021-22,legacy,Aurizon Rail Freight WA,AURIZON OPERATIONS LIMITED,WA,,156679.0,141227.0,141227.0,,,-
F0011,2021-22,legacy,AusNet Gas Services Pty Ltd,AusNet Services Holdings Pty Ltd,VIC,,220372.0,185931.0,185931.0,,,-
F0268,2021-22,legacy,Australian Gas Networks (SA) Ltd,Australian Gas Networks Limited,SA,,120932.0,107063.0,107063.0,,,-
F0012,2021-22,legacy,Australian Gas Networks (Vic) Pty Ltd,Australian Gas Networks Limited,VIC,,301675.0,158211.0,158211.0,,,-
F0013,2021-22,legacy,Ballera,Santos Limited,QLD,,200749.0,172435.0,172435.0,,,-
F0014,2021-22,legacy,Baralaba Coal Mine,BARALABA COAL COMPANY PTY LTD ,QLD,,,110125.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0015,2021-22,legacy,Batchfire Resources No.1,BATCHFIRE RESOURCES PTY LTD,QLD,,241186.0,188124.0,188124.0,,,-
F0018,2021-22,legacy,Bell Bay Smelter,RIO TINTO ALUMINIUM (BELL BAY) LIMITED,TAS,,370510.0,357496.0,357496.0,,,-
F0019,2021-22,legacy,Bengalla Operations,Bengalla Mining Company Pty Limited,NSW,,730869.0,725774.0,725774.0,,,-
F0020,2021-22,legacy,Birkenhead Operations,ADBRI LIMITED,SA,,1106181.0,829478.0,854264.0,,,The facility's net emissions number for 2021-22 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
F0021,2021-22,legacy,Blackwater Mine,BM Alliance Coal Operations Pty Limited,QLD,,733663.0,643597.0,643597.0,,,-
F0023,2021-22,legacy,Boggabri Coal Minesite,BOGGABRI COAL PTY LIMITED,NSW,,202244.0,177437.0,177437.0,,,-
F0024,2021-22,legacy,Boyne Smelters Limited,RIO TINTO ALUMINIUM LIMITED,QLD,,918989.0,895814.0,895814.0,,,-
F0025,2021-22,legacy,Brockman 2 / Nammuldi Mines,Hamersley Iron Pty. Limited,WA,,321494.0,326461.0,321494.0,,,-
F0026,2021-22,legacy,Brockman 4 Mine,Hamersley Iron Pty. Limited,WA,,395901.0,208674.0,208674.0,,,-
F0027,2021-22,legacy,Bulga Coal Complex,BULGA COAL MANAGEMENT PTY LIMITED,NSW,,707250.0,474479.0,474479.0,,,-
F0029,2021-22,legacy,Byerwen  Mine,BYERWEN COAL PTY LTD,QLD,,456929.0,338093.0,338093.0,,,-
F0030,2021-22,legacy,CAN01,South32 Cannington Proprietary Limited,QLD,,132240.0,117901.0,117901.0,,,-
F0031,2021-22,legacy,Capcoal Mine,ANGLO COAL (CAPCOAL MANAGEMENT) PTY LIMITED,QLD,,4544066.0,1879565.0,1879565.0,,,-
F0032,2021-22,legacy,Carborough Downs Coal Mine,FITZROY (CQ) PTY LTD,QLD,,,968784.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0033,2021-22,legacy,Carmichael Coal Mine,Adani Mining Pty Ltd,QLD,,740457.0,190781.0,190781.0,,,-
F0034,2021-22,legacy,Carosue Dam Operations,NORTHERN STAR (CAROSUE DAM) PTY LTD,WA,,,115517.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0035,2021-22,legacy,Caval Ridge Mine,BM Alliance Coal Operations Pty Limited,QLD,,644129.0,264848.0,264848.0,,,-
F0036,2021-22,legacy,CEM NSW Berrima,Boral Limited,NSW,,1054904.0,1012081.0,1012081.0,,,-
F0038,2021-22,legacy,Chandala Processing Plant,Tronox Management Pty Ltd,WA,,280203.0,233786.0,233786.0,,,-
F0039,2021-22,legacy,Christmas Creek Mine,CHICHESTER METALS PTY LTD,WA,,596884.0,373646.0,373646.0,,,-
F0040,2021-22,legacy,Clermont Coal Operations,Clermont Coal Operations Pty Limited,QLD,,437255.0,361701.0,361701.0,,,-
F0041,2021-22,legacy,Cloudbreak Mine,CHICHESTER METALS PTY LTD,WA,,405681.0,362034.0,362034.0,,,-
F0042,2021-22,legacy,Cockburn Operations,ADBRI LIMITED,WA,,789018.0,785376.0,785376.0,,,-
F0043,2021-22,legacy,Collinsville Mine,NC COAL COMPANY PTY LIMITED,QLD,,144171.0,126725.0,126725.0,,,-
F0046,2021-22,legacy,Coppabella Coal Mine,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,QLD,,203763.0,194038.0,194038.0,,,-
F0232,2021-22,legacy,Cowal Operations,EVOLUTION MINING (COWAL) PTY LIMITED,NSW,,,101373.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0047,2021-22,legacy,CSBP Kwinana Facility,CSBP Limited,WA,,885913.0,629391.0,629391.0,,,-
F0048,2021-22,legacy,CTC WA Facility,CENTURION TRANSPORT CO. PTY LTD,WA,,126062.0,109567.0,109567.0,,,-
F0049,2021-22,legacy,Curragh Mine,CORONADO AUSTRALIA HOLDINGS PTY LTD,QLD,,,861201.0,,3117281.0,2329133.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0050,2021-22,legacy,Curtis Island GLNG Plant,Santos Limited,QLD,,1888177.0,1685966.0,1685966.0,,,-
F0233,2021-22,legacy,Dandenong,OCEANIA GLASS PTY LTD,VIC,,123348.0,116420.0,116420.0,,,-
F0051,2021-22,legacy,Darwin LNG Plant,Santos Limited,NT,,,1241038.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0052,2021-22,legacy,Daunia Mine,BM Alliance Coal Operations Pty Limited,QLD,,310899.0,163888.0,163888.0,,,-
F0053,2021-22,legacy,Dawson Mine,ANGLO COAL (DAWSON MANAGEMENT) PTY LTD,QLD,,,432807.0,,2035987.0,1439012.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0054,2021-22,legacy,DBNGP,DBNGP (WA) Transmission Pty Limited,WA,,246362.0,224323.0,224323.0,,,-
F0055,2021-22,legacy,DEN01,Dendrobium Coal Pty Ltd,NSW,,386274.0,232076.0,232076.0,,,-
F0056,2021-22,legacy,Dongara Operations,ADBRI LIMITED,WA,,122883.0,112536.0,112536.0,,,-
F0057,2021-22,legacy,Drake Mine,Drake Mine Management Pty Ltd,QLD,,,208972.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0058,2021-22,legacy,Duketon South Operations,Regis Resources Limited,WA,,186157.0,171680.0,171680.0,,,-
F0235,2021-22,legacy,EGP,Jemena Eastern Gas Pipeline (1) Pty Ltd,NSW; VIC,,145997.0,108209.0,108209.0,,,-
F0059,2021-22,legacy,Eliwana Mine,FMG SOLOMON PTY LTD,WA,,199022.0,156384.0,156384.0,,,-
F0060,2021-22,legacy,Ensham Resources Minesite,ENSHAM RESOURCES PTY. LIMITED,QLD,,,307273.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0061,2021-22,legacy,Fairview,Santos Limited,QLD,,549476.0,341841.0,341841.0,,,-
F0062,2021-22,legacy,Fimiston Operations,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,WA,,242659.0,192325.0,192325.0,,,-
F0064,2021-22,legacy,Fisherman's Landing,CEMENT AUSTRALIA (QUEENSLAND) PTY LIMITED,QLD,,1795018.0,1678126.0,1678126.0,,,-
F0065,2021-22,legacy,FLNG,SHELL AUSTRALIA PTY LTD,WA,,2263910.0,1840672.0,1840672.0,,,-
F0066,2021-22,legacy,Foxleigh Mine,FOXLEIGH MANAGEMENT PTY LTD,QLD,,281190.0,218686.0,218686.0,,,-
F0067,2021-22,legacy,Geelong Refinery,Viva Energy Refining Pty Ltd,VIC,,1094298.0,1076739.0,1076739.0,,,-
F0068,2021-22,legacy,GEM01,Groote Eylandt Mining Company Proprietary Limited,NT,,195344.0,192995.0,192995.0,,,-
F0236,2021-22,legacy,Gibson Island,Incitec Pivot Limited,QLD,,544910.0,396976.0,396976.0,,,-
F0070,2021-22,legacy,Gippsland Basin facility,ESSO AUSTRALIA RESOURCES PTY LTD,VIC,,2740315.0,1746940.0,1746940.0,,,-
F0071,2021-22,legacy,Goldfields Gas Transmission Pipeline,Goldfields Gas Transmission Pty Ltd,WA,,,131592.0,,396090.0,366301.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0072,2021-22,legacy,Goonyella Broadmeadow Mine,BM Alliance Coal Operations Pty Limited,QLD,,1736739.0,1314139.0,1314139.0,,,-
F0073,2021-22,legacy,Gorgon Operations,CHEVRON AUSTRALIA PTY LTD,WA,,8336476.0,8318842.0,8318842.0,,,-
F0074,2021-22,legacy,Gove Operations,RTA GOVE PTY LIMITED,NT,,132111.0,118473.0,132111.0,,,The facility's net emissions number for 2021-22 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
F0075,2021-22,legacy,Granny Smith Mine Site,GSM MINING COMPANY PTY LTD,WA,,126385.0,120157.0,126385.0,,,The facility's net emissions number for 2021-22 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
F0077,2021-22,legacy,Grosvenor Mine,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,QLD,,3307753.0,775806.0,775806.0,,,-
F0078,2021-22,legacy,Gruyere Mine Site,Gruyere Mining Company Pty Ltd,WA,,243584.0,197497.0,197497.0,,,-
F0079,2021-22,legacy,Hail Creek Mine,HAIL CREEK COAL PTY LTD,QLD,,587896.0,543611.0,543611.0,,,-
F0080,2021-22,legacy,Hope Downs 1 Mine,Hamersley HMS Pty Ltd,WA,,152296.0,165509.0,152296.0,,,-
F0081,2021-22,legacy,Hope Downs 4 Mine,Hamersley HMS Pty Ltd,WA,,116192.0,117658.0,116192.0,,,-
F0082,2021-22,legacy,Hunter Valley Operations mine,HV OPERATIONS PTY LTD,NSW,,633681.0,577874.0,577874.0,,,-
F0083,2021-22,legacy,HVY01 Hunter Valley Energy Coal - CCL Facility,Hunter Valley Energy Coal Pty Ltd,NSW,,,503403.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0084,2021-22,legacy,InfraBuild Steel Laverton Steel Mill,THE AUSTRALIAN STEEL COMPANY (OPERATIONS) PTY LTD,VIC,,123412.0,112731.0,112731.0,,,-
F0085,2021-22,legacy,Integra Underground Mine,HV Coking Coal Pty Limited,NSW,,721813.0,277236.0,277236.0,,,-
F0089,2021-22,legacy,Jellinbah Mine,JELLINBAH MINING PTY LTD,QLD,,256527.0,241538.0,241538.0,,,-
F0090,2021-22,legacy,JGN,Jemena Gas Networks (NSW) Ltd,NSW,,477774.0,400018.0,400018.0,,,-
F0091,2021-22,legacy,Jimblebar Mine,BHP IRON ORE PTY LTD,WA,,,305973.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0092,2021-22,legacy,Jundee Gold Mine,NORTHERN STAR RESOURCES LIMITED,WA,,173116.0,141316.0,141316.0,,,-
F0094,2021-22,legacy,Kemerton Silicon Smelter,SIMCOA OPERATIONS PTY. LTD.,WA,,100000.0,110437.0,100000.0,,,-
F0239,2021-22,legacy,Kestrel Coal Pty Ltd,Kestrel Coal Group Pty Ltd,QLD,,1655916.0,1236654.0,1236654.0,,,-
F0241,2021-22,legacy,Koolyanobbing Iron Ore Operations,Yilgarn Iron Pty Ltd,WA,,176116.0,131692.0,131692.0,,,-
F0098,2021-22,legacy,Kooragang Island,ORICA AUSTRALIA PTY LTD,NSW,,1291767.0,1092155.0,1092155.0,,,-
F0099,2021-22,legacy,Kwinana Alumina Refinery,Alcoa of Australia Limited,WA,,1366709.0,1253485.0,1253485.0,,,-
F0100,2021-22,legacy,Kwinana Pigment Plant,Tronox Management Pty Ltd,WA,,333169.0,314557.0,314557.0,,,-
F0101,2021-22,legacy,Lake Vermont Mine,THIESS PTY LTD,QLD,,394117.0,369934.0,369934.0,,,-
F0102,2021-22,legacy,Leinster Power Station,TEC DESERT PTY LTD,WA,,154495.0,139326.0,139326.0,,,-
F0103,2021-22,legacy,Liberty Bell Bay,Liberty Bell Bay Pty Ltd,TAS,,398933.0,350535.0,350535.0,,,-
F0104,2021-22,legacy,Liberty Primary Steel Whyalla Steelworks,ONESTEEL MANUFACTURING PTY LIMITED,SA,,2690509.0,2150574.0,2150574.0,,,-
F0260,2021-22,legacy,Liddell Coal Mine,LIDDELL COAL OPERATIONS PTY. LIMITED,NSW,,176827.0,168363.0,168363.0,,,-
F0106,2021-22,legacy,Mandalong Mine,CENTENNIAL MANDALONG PTY LIMITED,NSW,,1443304.0,1401895.0,1401895.0,,,-
F0107,2021-22,legacy,Mangoola,MANGOOLA COAL OPERATIONS PTY LIMITED,NSW,,122507.0,100044.0,100044.0,,,-
F0108,2021-22,legacy,Marandoo Mine,Hamersley Iron Pty. Limited,WA,,214614.0,159346.0,159346.0,,,-
F0109,2021-22,legacy,Maules Creek Open Cut Mine,MAULES CREEK COAL PTY LTD,NSW,,367513.0,266464.0,266464.0,,,-
F0111,2021-22,legacy,McArthur River Power Station,EDL NGD (NT) Pty Ltd,NT,,153748.0,135796.0,135796.0,,,-
F0242,2021-22,legacy,Mesa A Mine,Robe River Mining Co. Pty. Ltd.,WA,,,88004.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0112,2021-22,legacy,Metropolitan Colliery,METROPOLITAN COLLIERIES PTY. LTD.,NSW,,663700.0,433633.0,433633.0,,,-
F0113,2021-22,legacy,Middlemount Coal Mine,Middlemount Coal Pty Ltd,QLD,,268480.0,246523.0,246523.0,,,-
F0244,2021-22,legacy,Millicent Mill,Kimberly-Clark Australia Pty. Limited,SA,,121846.0,104395.0,104395.0,,,-
F0245,2021-22,legacy,Mobil Altona Refinery,MOBIL REFINING AUSTRALIA PTY. LTD.,VIC,,,110446.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0114,2021-22,legacy,Montara Operations,JADESTONE ENERGY (EAGLE) PTY LTD,NT,,332536.0,262068.0,262068.0,,,-
F0115,2021-22,legacy,Moolarben Coal Mine (Open Cut & Underground),MOOLARBEN COAL OPERATIONS PTY LTD,NSW,,361814.0,181893.0,181893.0,,,-
F0116,2021-22,legacy,Moomba Plant,Santos Limited,SA,,2252960.0,2175400.0,2175400.0,,,-
F0117,2021-22,legacy,Moorvale Coal Mine,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,QLD,,239233.0,112364.0,112364.0,,,-
F0246,2021-22,legacy,Moranbah,Incitec Pivot Limited,QLD,,610520.0,601867.0,601867.0,,,-
F0119,2021-22,legacy,Moranbah North Mine,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,QLD,,4533701.0,2006377.0,2006377.0,,,-
F0120,2021-22,legacy,Mount Isa Mines Copper and Zinc Operations,MOUNT ISA MINES LIMITED,QLD,,610598.0,335200.0,335200.0,,,-
F0121,2021-22,legacy,Mount Pleasant Operations,MACH Energy Australia Pty Ltd,NSW,,752950.0,716841.0,716841.0,,,-
F0122,2021-22,legacy,Mt Keith Power Station,TEC DESERT PTY LTD,WA,,,185892.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0123,2021-22,legacy,Mt Owen Glendell Complex,MT OWEN PTY LIMITED,NSW,,286172.0,264736.0,264736.0,,,-
F0124,2021-22,legacy,Multinet Principal Distribution Network and South Gippsland Pipeline,MULTINET GAS (DB NO. 2) PTY LTD,VIC,,315124.0,204713.0,204713.0,,,-
F0125,2021-22,legacy,Murrin Murrin Operations,MURRIN MURRIN OPERATIONS PTY LTD,WA,,617082.0,512537.0,512537.0,,,-
F0126,2021-22,legacy,Myuna Colliery,CENTENNIAL MYUNA PTY LIMITED,NSW,,825052.0,320525.0,320525.0,,,-
F0127,2021-22,legacy,Narrabri Underground Mine,Narrabri Coal Operations Pty Ltd,NSW,,1116113.0,519704.0,519704.0,,,-
F0229,2021-22,legacy,New Illawarra Road Landfill,Cleanaway Waste Management Limited,NSW,,129952.0,54091.0,54091.0,,,-
F0229,2021-22,legacy,New Illawarra Road Landfill,VEOLIA RECYCLING & RECOVERY ANZ PTY LIMITED,NSW,,176707.0,73574.0,73574.0,,,-
F0128,2021-22,legacy,Newlands Coal Complex including Newlands Northern UG,NC COAL COMPANY PTY LIMITED,QLD,,454339.0,414271.0,414271.0,,,-
F0129,2021-22,legacy,Newman Operations,BHP IRON ORE PTY LTD,WA,,,305076.0,,1102168.0,1006396.0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0130,2021-22,legacy,Newman Power Station,ALINTA ENERGY TRANSMISSION (ROY HILL) PTY LTD,WA,,604378.0,389496.0,389496.0,,,-
F0131,2021-22,legacy,Newmont Boddington Gold Operation,Newmont Boddington Pty Ltd,WA,,330487.0,198355.0,198355.0,,,-
F0132,2021-22,legacy,Newmont Tanami Operation,Newmont Tanami Pty Ltd,NT,,215737.0,187794.0,187794.0,,,-
F0271,2021-22,legacy,NGP,JEMENA NORTHERN GAS PIPELINE PTY LTD,NT; QLD,,115783.0,107606.0,107606.0,,,-
F0133,2021-22,legacy,Ningaloo Vision FPSO,Santos Limited,WA,,546091.0,381472.0,381472.0,,,-
F0134,2021-22,legacy,NKS01 Nickel West Kalgoorlie Facility,BHP NICKEL WEST PTY LTD,WA,,158794.0,140234.0,140234.0,,,-
F0135,2021-22,legacy,NKW01 Nickel West Kwinana Facility,BHP NICKEL WEST PTY LTD,WA,,,161918.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0136,2021-22,legacy,NMK01 Nickel West Mt Keith Facility,BHP NICKEL WEST PTY LTD,WA,,209693.0,129880.0,129880.0,,,-
F0248,2021-22,legacy,Norske Skog Boyer Mill,Norske Skog Paper Mills (Australia) Limited,TAS,,183056.0,171463.0,171463.0,,,The facility's net emissions number for 2021-22 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
F0037,2021-22,legacy,North Goonyella Coal Mine,PEABODY (BOWEN) PTY LTD,QLD,,225651.0,171698.0,171698.0,,,-
F0138,2021-22,legacy,North West Shelf Project,Woodside Energy Ltd.,WA,,,6418032.0,,,,Please refer to the Multi-year monitoring period reported emissions data table for more information.
F0139,2021-22,legacy,Nowra Plant,Shoalhaven Starches Pty Ltd,NSW,,477214.0,370956.0,370956.0,,,-
F0221,2021-22,legacy,NSW - Woodlawn Bioreactor,Veolia Environmental Services (Australia) Pty Ltd,NSW,,140540.0,101881.0,101881.0,,,-
F0140,2021-22,legacy,Nyrstar Port Pirie Facility,Nyrstar Port Pirie Pty Ltd,SA,,547081.0,428561.0,428561.0,,,-
F0141,2021-22,legacy,Oaky Creek Coal Complex,OAKY CREEK HOLDINGS PTY LIMITED,QLD,,1747736.0,859792.0,859792.0,,,-
F0142,2021-22,legacy,ODS01 Olympic Dam – UOD Facility,BHP OLYMPIC DAM CORPORATION PTY LTD,SA,,241243.0,182302.0,182302.0,,,-
F0145,2021-22,legacy,Opal Australian Paper Maryvale Mill,PAPER AUSTRALIA PTY LTD,VIC,,519332.0,324164.0,324164.0,,,-
F0146,2021-22,legacy,Orora Glass Plant Gawler ,Orora Limited,SA,,230073.0,206339.0,206339.0,,,-
F0147,2021-22,legacy,Otway,BEACH ENERGY (OPERATIONS) LIMITED,VIC,,200355.0,142025.0,142025.0,,,-
F0148,2021-22,legacy,Pacific National Transport Facility,PACIFIC NATIONAL PTY LTD,National,,,871855.0,,,,"Please refer to the Multi-year monitoring period reported emissions data table for more information.
The facility's net emissions number for 2021-22 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility."
F0149,2021-22,legacy,Paraburdoo Mine,Hamersley Iron Pty. Limited,WA,,120836.0,116170.0,116170.0,,,-
F0150,2021-22,legacy,Parkhurst Magnesia Manufacturing Plant,QMAG PTY LIMITED,QLD,,238915.0,235791.0,235791.0,,,-
F0151,2021-22,legacy,Peak Downs Mine,BM Alliance Coal Operations Pty Limited,QLD,,586447.0,448708.0,448708.0,,,-
